Pistachio_Index,tip_Closest_50_1,tip_Closest_50_2,tip_Closest_50_3,tip_Closest_50_4,tip_Closest_50_5,tip_Closest_50_6,tip_Closest_50_7,tip_Closest_50_8,Status,Status Color,full_1,full_2,full_3,full_4,full_5,full_6,full_7,full_8,tip_Farthest_50_1,tip_Farthest_50_2,tip_Farthest_50_3,tip_Farthest_50_4,tip_Farthest_50_5,tip_Farthest_50_6,tip_Farthest_50_7,tip_Farthest_50_8,tip_Closest_30_1,tip_Closest_30_2,tip_Closest_30_3,tip_Closest_30_4,tip_Closest_30_5,tip_Closest_30_6,tip_Closest_30_7,tip_Closest_30_8,tip_Farthest_30_1,tip_Farthest_30_2,tip_Farthest_30_3,tip_Farthest_30_4,tip_Farthest_30_5,tip_Farthest_30_6,tip_Farthest_30_7,tip_Farthest_30_8,tip_Farthest_70_1,tip_Farthest_70_2,tip_Farthest_70_3,tip_Farthest_70_4,tip_Farthest_70_5,tip_Farthest_70_6,tip_Farthest_70_7,tip_Farthest_70_8,tip_Closest_70_1,tip_Closest_70_2,tip_Closest_70_3,tip_Closest_70_4,tip_Closest_70_5,tip_Closest_70_6,tip_Closest_70_7,tip_Closest_70_8
CT3-A7-full_23,0.173,0.0,0.0,0.0,0.11,0.04,0.0,0.678,Filled,#5dde6a,0.385,0.0,0.0,0.0,0.186,0.021,0.0,0.408,0.598,0.0,0.0,0.0,0.263,0.002,0.0,0.137,0.131,0.0,0.0,0.0,0.074,0.041,0.0,0.755,0.617,0.0,0.0,0.0,0.277,0.003,0.0,0.104,0.495,0.0,0.0,0.0,0.235,0.012,0.0,0.258,0.287,0.0,0.0,0.0,0.148,0.028,0.0,0.537
CT3-A7-full_24,0.397,0.0,0.0,0.012,0.409,0.009,0.032,0.142,Filled,#5dde6a,0.468,0.0,0.0,0.006,0.325,0.015,0.015,0.171,0.53,0.0,0.0,0.0,0.252,0.021,0.0,0.197,0.524,0.0,0.0,0.021,0.341,0.002,0.034,0.078,0.565,0.0,0.0,0.0,0.168,0.025,0.0,0.243,0.448,0.0,0.0,0.0,0.319,0.02,0.008,0.205,0.426,0.0,0.0,0.008,0.394,0.011,0.022,0.14
CT3-A7-full_25,0.072,0.0,0.0,0.0,0.09,0.173,0.0,0.665,Blank,#dbc381,0.117,0.0,0.0,0.0,0.097,0.162,0.0,0.624,0.159,0.0,0.0,0.0,0.104,0.151,0.0,0.585,0.083,0.0,0.0,0.0,0.102,0.129,0.0,0.686,0.22,0.0,0.0,0.0,0.104,0.074,0.0,0.602,0.13,0.0,0.0,0.0,0.095,0.175,0.0,0.599,0.069,0.0,0.0,0.0,0.094,0.202,0.0,0.635
CT3-A7-full_26,0.236,0.0,0.001,0.001,0.061,0.002,0.001,0.697,Blank,#dbc381,0.154,0.0,0.001,0.0,0.089,0.009,0.001,0.746,0.069,0.0,0.0,0.0,0.118,0.015,0.002,0.796,0.343,0.001,0.002,0.001,0.047,0.004,0.002,0.6,0.045,0.0,0.0,0.0,0.098,0.025,0.003,0.829,0.072,0.0,0.0,0.0,0.108,0.01,0.001,0.809,0.198,0.0,0.001,0.001,0.085,0.002,0.001,0.712
CT3-A7-full_27,0.647,0.0,0.0,0.001,0.346,0.0,0.004,0.001,Filled,#5dde6a,0.723,0.0,0.0,0.0,0.27,0.0,0.002,0.004,0.803,0.0,0.0,0.0,0.19,0.0,0.0,0.007,0.427,0.0,0.0,0.001,0.562,0.001,0.007,0.001,0.679,0.0,0.0,0.0,0.31,0.0,0.0,0.011,0.843,0.0,0.0,0.0,0.152,0.0,0.0,0.005,0.741,0.0,0.0,0.001,0.254,0.0,0.003,0.001
CT3-A7-full_28,0.003,0.0,0.001,0.002,0.96,0.0,0.035,0.0,Filled,#5dde6a,0.183,0.0,0.0,0.0,0.806,0.0,0.009,0.001,0.249,0.0,0.0,0.0,0.75,0.0,0.0,0.001,0.004,0.0,0.001,0.004,0.909,0.0,0.082,0.0,0.38,0.0,0.0,0.0,0.618,0.0,0.0,0.002,0.206,0.0,0.0,0.0,0.793,0.0,0.0,0.001,0.006,0.0,0.0,0.001,0.975,0.0,0.018,0.0
CT3-A7-full_29,0.403,0.0,0.0,0.0,0.294,0.0,0.0,0.303,Filled,#5dde6a,0.401,0.0,0.0,0.0,0.307,0.015,0.001,0.276,0.399,0.0,0.0,0.0,0.321,0.029,0.001,0.25,0.412,0.0,0.0,0.0,0.379,0.0,0.0,0.208,0.416,0.0,0.0,0.0,0.309,0.05,0.002,0.223,0.396,0.0,0.0,0.0,0.277,0.021,0.001,0.305,0.394,0.0,0.0,0.0,0.307,0.0,0.0,0.299
CT3-A7-full_30,0.461,0.0,0.001,0.002,0.495,0.0,0.008,0.032,Filled,#5dde6a,0.626,0.0,0.0,0.001,0.35,0.0,0.004,0.019,0.755,0.0,0.0,0.0,0.236,0.0,0.0,0.009,0.265,0.001,0.002,0.003,0.667,0.001,0.015,0.047,0.734,0.0,0.0,0.0,0.263,0.0,0.0,0.002,0.739,0.0,0.0,0.0,0.251,0.0,0.0,0.01,0.577,0.0,0.001,0.001,0.389,0.0,0.005,0.026
CT3-A13-full_1,0.649,0.0,0.0,0.0,0.202,0.002,0.001,0.145,Filled,#5dde6a,0.575,0.0,0.0,0.0,0.176,0.008,0.002,0.239,0.5,0.0,0.0,0.0,0.149,0.014,0.003,0.334,0.679,0.0,0.0,0.0,0.225,0.004,0.002,0.089,0.528,0.0,0.0,0.0,0.185,0.013,0.0,0.274,0.53,0.0,0.0,0.0,0.155,0.01,0.002,0.303,0.595,0.0,0.0,0.0,0.172,0.006,0.003,0.224
CT3-A13-full_2,0.19,0.0,0.0,0.004,0.731,0.003,0.019,0.053,Filled,#5dde6a,0.492,0.0,0.0,0.002,0.438,0.004,0.007,0.057,0.677,0.0,0.0,0.001,0.258,0.004,0.0,0.06,0.178,0.0,0.0,0.007,0.728,0.0,0.015,0.071,0.674,0.0,0.0,0.001,0.272,0.005,0.0,0.048,0.563,0.0,0.0,0.001,0.373,0.004,0.006,0.054,0.39,0.0,0.0,0.003,0.531,0.003,0.011,0.063
